player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Andersen, Mason",Korn Ferry Tour,218,16,159,4,-0.31
"Kohles, Ben",PGA TOUR,219,-18,133,-2,-0.313
"Castillo, Ricky",Korn Ferry Tour,220,34,251,17,-0.316
"Du Plessis, Hennie",DP World Tour,221,-3,219,0,-0.324
"Macintyre, Robert",PGA TOUR,222,-3,80,-1,-0.327
"Waring, Paul",DP World Tour,223,-3,258,-10,-0.33
"Kimsey, Nathan",DP World Tour,224,-2,164,0,-0.333
"Gordon, Will",PGA TOUR,225,-2,225,-11,-0.334
"Sargent, Gordon",Amateur Events,226,-2,9999,0,-0.335
"Tosti, Alejandro",PGA TOUR,227,-48,98,-1,-0.337
"Yuan, Carl",PGA TOUR,228,19,130,-1,-0.353
"Del Rey, Alejandro",DP World Tour,229,-2,257,-8,-0.356
"De Jager, Louis",DP World Tour,230,-2,273,-2,-0.356
"Pieters, Thomas",LIV Tour,231,53,370,-12,-0.358
"Smalley, Alex",PGA TOUR,232,-15,126,-2,-0.362
"Palmer, Ryan",PGA TOUR,233,-19,238,-7,-0.364
"Springer, Hayden",PGA TOUR,234,17,261,8,-0.366
"Garnett, Brice",PGA TOUR,235,-2,180,-2,-0.368
"Otaegui, Adrian",DP World Tour,236,1,140,-4,-0.372
"Van Driel, Darius",DP World Tour,237,1,216,-1,-0.372
"Larrazabal, Pablo",DP World Tour,238,1,118,-1,-0.375
"Champ, Cameron",PGA TOUR,239,-41,304,-8,-0.38
"Norlander, Henrik",PGA TOUR,240,-4,259,-7,-0.388
"Smotherman, Austin",PGA TOUR,241,41,293,22,-0.391
"Coussaud, Ugo",DP World Tour,242,-1,208,-2,-0.396
"Merritt, Troy",PGA TOUR,243,-8,268,-10,-0.399
"Wenyi, Ding",Amateur Events,244,0,9999,0,-0.404
"Jordan, Matthew",DP World Tour,245,0,209,-2,-0.41
"Guerrier, Julien",DP World Tour,246,2,181,-6,-0.416
"Sloan, Roger",PGA TOUR,247,-1,311,-3,-0.417
"Lee, Richard Taehoon",Other Tours,248,1,309,-3,-0.419
"Koivun, Jackson",Amateur Events,249,1,9999,0,-0.42
"Blair, Zac",PGA TOUR,250,-42,119,-7,-0.423
"Furr, Wilson",Korn Ferry Tour,251,6,270,-14,-0.427
"Bennett, Sam",Korn Ferry Tour,252,40,317,16,-0.429
"Jamieson, Scott",DP World Tour,253,2,239,-6,-0.44
"Hickok, Kramer",PGA TOUR,254,2,374,1,-0.447
"McCarty, Matt",Korn Ferry Tour,255,-23,353,-3,-0.451
"Fishburn, Patrick",Korn Ferry Tour,256,2,328,-4,-0.451
"Campbell, Brian",Korn Ferry Tour,257,-4,251,8,-0.453
"Donald, Luke",PGA TOUR,258,-33,387,-3,-0.453
"Cockerill, Aaron",DP World Tour,259,0,211,-1,-0.455
"Riley, Davis",PGA TOUR,260,-18,236,-12,-0.467
"Endycott, Harrison",PGA TOUR,261,4,396,-6,-0.469
"McGreevy, Max",PGA TOUR,262,65,357,97,-0.475
"McDowell, Graeme",LIV Tour,263,6,9999,0,-0.481
"Skinns, David",PGA TOUR,264,-33,148,-1,-0.482
"Wise, Aaron",PGA TOUR,265,-1,280,-17,-0.489
"Clanton, Luke",Amateur Events,266,0,9999,0,-0.502
"Chatfield, Davis",Korn Ferry Tour,267,45,422,29,-0.504
"Del Solar, Cristobal",Korn Ferry Tour,268,-47,232,-3,-0.508
"Inamori, Yuki",Other Tours,269,-1,278,-5,-0.51
"Molinari, Francesco",PGA TOUR,270,1,266,-12,-0.512
"Sharma, Shubhankar",DP World Tour,271,1,189,-1,-0.516
"Seiffert, Chase",Korn Ferry Tour,272,-12,325,-3,-0.521
"Helligkilde, Marcus",DP World Tour,273,2,217,-4,-0.521
"Manassero, Matteo",DP World Tour,274,2,173,0,-0.523
"Schwartzel, Charl",LIV Tour,275,-12,391,-9,-0.523
"Westmoreland, Kyle",Korn Ferry Tour,276,7,347,4,-0.527
"Smyth, Travis",Other Tours,277,0,233,-5,-0.528
"Mullinax, Trey",PGA TOUR,278,17,220,-4,-0.53
"Echavarria, Nicolas",PGA TOUR,279,-73,313,-10,-0.531
"Paul, Jeremy",Korn Ferry Tour,280,42,294,13,-0.532
"Scrivener, Jason",DP World Tour,281,-3,306,-5,-0.533
"Cook, Austin",PGA TOUR,282,3,366,6,-0.535
"VanDerLaan, John",Korn Ferry Tour,283,27,330,5,-0.536
"Zanotti, Fabrizio",DP World Tour,284,-4,272,-5,-0.539
"Tway, Kevin",PGA TOUR,285,6,444,3,-0.54
"Dougherty, Kevin",Korn Ferry Tour,286,-7,288,-2,-0.551
"Kraft, Kelly",PGA TOUR,287,-1,377,1,-0.551
"Aphibarnrat, Kiradech",DP World Tour,288,-1,254,-4,-0.552
"Hill, Calum",DP World Tour,289,-1,195,-3,-0.552
"Horsfield, Sam",LIV Tour,290,-47,9999,0,-0.554
"Fisk, Steven",Korn Ferry Tour,291,70,240,0,-0.56
"Gabrelcik, Nick",Amateur Events,292,-3,9999,0,-0.56
"Harkins, Brandon",Korn Ferry Tour,293,31,9999,0,-0.564
"Alexander, Tyson",PGA TOUR,294,62,235,42,-0.565
"Alker, Steven",PGA TOUR Champions,295,-1,9999,0,-0.57
"Solomon, Jacob",Korn Ferry Tour,296,-15,373,-11,-0.572
"Elvira Mijares, Ignacio",DP World Tour,297,0,201,-1,-0.576
"Crocker, Sean",DP World Tour,298,1,227,-4,-0.583
"Green, Gavin",DP World Tour,299,1,202,-3,-0.584
"Lipsky, David",PGA TOUR,300,18,223,-1,-0.585
"Bradbury, Dan",DP World Tour,301,0,185,-3,-0.586
"Kruyswijk, Jacques",DP World Tour,302,26,295,0,-0.593
"Elvira, Manuel",DP World Tour,303,-1,318,-1,-0.594
"Hahn, James",PGA TOUR,304,1,367,1,-0.601
"Imahira, Shugo",Other Tours,305,1,290,-8,-0.604
"Shinkwin, Callum",DP World Tour,306,2,155,-2,-0.614
"Redman, Doc",PGA TOUR,307,53,414,67,-0.616
"Chappell, Kevin",PGA TOUR,308,49,437,0,-0.617
"Long, Adam",PGA TOUR,309,-39,385,-8,-0.617
"Steelman, Ross",Korn Ferry Tour,310,-20,9999,0,-0.619
"Walsh, Thomas",Korn Ferry Tour,311,-37,282,-3,-0.621
"Trainer, Martin",PGA TOUR,312,-8,381,-1,-0.628
"Xiong, Norman",PGA TOUR,313,-2,182,-5,-0.631
"Goya, Estanislao",Korn Ferry Tour,314,41,405,23,-0.637
"Ortiz Becerra, Alvaro",Korn Ferry Tour,315,-42,472,10,-0.642
"Moller, Niklas Norgaard",DP World Tour,316,-2,307,-2,-0.65
"Tarren, Callum",PGA TOUR,317,9,224,-13,-0.652
"Catlin, John",DP World Tour,318,-3,229,-3,-0.653
"Salinda, Isaiah",Korn Ferry Tour,319,-2,212,5,-0.658
"Kuest, Peter",PGA TOUR,320,84,188,74,-0.659
"Ogletree, Andy",Other Tours,321,-59,205,-2,-0.67
"James, Benjamin",Amateur Events,322,-3,9999,0,-0.67
"Samooja, Kalle",DP World Tour,323,-14,354,-8,-0.672
"Aiken, Thomas",DP World Tour,324,-4,424,-7,-0.674
"Park, Sanghyun",Other Tours,325,-4,277,-5,-0.674
"Campos, Rafael",Korn Ferry Tour,326,-30,292,-4,-0.677
"Capan III, Frankie",Korn Ferry Tour,327,52,324,37,-0.677
"Brown, Daniel",DP World Tour,328,-3,204,-3,-0.683
"Mouw, William",Korn Ferry Tour,329,-36,460,-5,-0.69
"Buckley, Hayden",PGA TOUR,330,-7,155,-2,-0.69
"Ramsay, Richie",DP World Tour,331,-1,203,-5,-0.692
"Goodwin, Noah",Korn Ferry Tour,332,46,403,18,-0.699
"Huizing, Daan",DP World Tour,333,0,322,-4,-0.701
"Whitney, Tom",Korn Ferry Tour,334,-2,255,2,-0.703
"Knox, Russell",PGA TOUR,335,31,444,4,-0.703
"Lamprecht, Christo",Amateur Events,336,-1,9999,0,-0.704
"Crowe, Trace",Korn Ferry Tour,337,-39,246,-8,-0.706
"Bateman, Wilson",Korn Ferry Tour,338,45,288,5,-0.709
"Nagano, Ryutaro",Other Tours,339,-2,314,0,-0.71
"Van Velzen, Ryan",Other Tours,340,-6,271,3,-0.712
"Harrington, Padraig",PGA TOUR Champions,341,-25,296,-7,-0.713
"Forrest, Grant",DP World Tour,342,-4,163,-5,-0.719
"Bekker, Oliver",DP World Tour,343,-3,351,-3,-0.721
"Sato, Taihei",Other Tours,344,-3,375,-4,-0.725
"Khongwatmai, Phachara",Other Tours,345,-2,264,-11,-0.73
"Summerhays, Daniel",Korn Ferry Tour,346,-4,491,0,-0.732
"Crick, Brandon",Korn Ferry Tour,347,4,9999,0,-0.734
"Perez, Pat",LIV Tour,348,-45,9999,0,-0.739
"Chacarra, Eugenio",LIV Tour,349,-18,452,-7,-0.747
"Migliozzi, Guido",DP World Tour,350,-6,248,-6,-0.753
"Gerard, Ryan",Korn Ferry Tour,351,44,247,-4,-0.753
"Brun, Julien",DP World Tour,352,-7,275,-5,-0.755
"Suber, Jackson",Korn Ferry Tour,353,-24,283,-2,-0.756
"Schaper, Jayden",DP World Tour,354,-7,315,-4,-0.762
"Teater, Josh",Korn Ferry Tour,355,25,412,14,-0.763
"Dou, Zecheng",PGA TOUR,356,-8,298,-6,-0.763
"Levy, Alexander",DP World Tour,357,-8,365,-1,-0.765
"Pepperell, Eddie",DP World Tour,358,-8,281,-5,-0.767
"McCormick, Ryan",Korn Ferry Tour,359,-46,356,-1,-0.768
"Lin, Yuxin",Amateur Events,360,-8,9999,0,-0.774
"Tabuena, Miguel",Other Tours,361,-8,384,-3,-0.775
"Ishikawa, Ryo",Other Tours,362,-8,237,-2,-0.775
"Cone, Trevor",PGA TOUR,363,58,421,34,-0.779
"Phillips, Trent",Korn Ferry Tour,364,32,265,1,-0.792
"Biondi, Fred",Korn Ferry Tour,365,-58,475,-2,-0.794
"Piercy, Scott",PGA TOUR,366,34,379,4,-0.8
"Cover, Patrick",Korn Ferry Tour,367,-21,9999,0,-0.802
"Dumont de Chassart, Adrien",PGA TOUR,368,-32,196,-3,-0.806
"Saksansin, Poom",Other Tours,369,3,341,3,-0.806
"Jarvis, Casey",DP World Tour,370,-11,291,-4,-0.815
"Saddier, Adrien",DP World Tour,371,-9,406,-9,-0.824
"Korhonen, Mikko",DP World Tour,372,-9,9999,0,-0.829
"Schneider, Marcel",DP World Tour,373,-9,319,-3,-0.829
"Armitage, Marcus",DP World Tour,374,-7,263,-8,-0.831
"Girrbach, Joel",DP World Tour,375,-7,450,-8,-0.833
"Rodriguez, Jose de Jesus",Other Tours,376,-7,309,4,-0.837
"Villegas, Camilo",PGA TOUR,377,8,165,-3,-0.846
"Kieffer, Maximilian",DP World Tour,378,-4,206,-4,-0.848
"Van Tonder, Daniel",DP World Tour,379,-4,442,-4,-0.849
"Paratore, Renato",DP World Tour,380,-4,360,-3,-0.851
"Diaz, Roberto",Korn Ferry Tour,381,-10,479,-6,-0.86
"Creighton, Myles",Other Tours,382,-9,434,-5,-0.865
"Barjon, Paul",Korn Ferry Tour,383,14,242,-5,-0.87
"Ham, Jeongwoo",Other Tours,384,4,448,-25,-0.87
"Campbell, Ben",Other Tours,385,22,228,-3,-0.87
"Katsuragawa, Yuto",Other Tours,386,0,401,-16,-0.874
"La Sasso, Michael",Amateur Events,387,2,9999,0,-0.877
"McGirt, William",PGA TOUR,388,-30,9999,0,-0.877
"Greaser, Austin",Amateur Events,389,2,9999,0,-0.88
"Dickson, Taylor",Korn Ferry Tour,390,-9,198,-4,-0.881
"Norris, Shaun",Other Tours,391,1,345,2,-0.881
"Kizzire, Patton",PGA TOUR,392,-53,297,-6,-0.884
"Baldwin, Matthew",DP World Tour,393,1,284,-4,-0.884
"Meissner, Mitchell",Korn Ferry Tour,394,-17,9999,0,-0.9
"Nienaber, Wilco",DP World Tour,395,-5,411,-6,-0.903
"Noh, Seung-Yul",PGA TOUR,396,6,9999,0,-0.905
"Wu, Ashun",DP World Tour,397,4,461,-8,-0.907
"Kaewkanjana, Sadom",Other Tours,398,-5,285,-10,-0.914
"Neergaard-Petersen, Rasmus",Challenge Tour,399,4,333,-2,-0.915
"Hillier, Daniel",DP World Tour,400,5,169,-1,-0.919
"Menante, Dylan",Amateur Events,401,5,9999,0,-0.92
"Oppenheim, Rob",Korn Ferry Tour,402,0,383,0,-0.924
"Ahlers, Jaco",Other Tours,403,6,340,-3,-0.926
"Molinari, Edoardo",DP World Tour,404,6,439,-13,-0.927
"Velo, Kevin",Korn Ferry Tour,405,36,262,3,-0.927
"Kelly, Jerry",PGA TOUR Champions,406,5,9999,0,-0.931
"Luck, Curtis",Korn Ferry Tour,407,-20,301,-1,-0.935
"Micheluzzi, David",Other Tours,408,4,299,-1,-0.935
"Jenkins, Carter",Korn Ferry Tour,409,5,300,-3,-0.938
"Blaum, Ryan",Korn Ferry Tour,410,80,9999,0,-0.949
"McCarthy, Dan",Korn Ferry Tour,411,7,9999,0,-0.949
"Lovemark, Jamie",Korn Ferry Tour,412,-13,453,-7,-0.952
"Gilligan, Ian",Amateur Events,413,4,9999,0,-0.957
"Gainey, Tommy",Korn Ferry Tour,414,80,9999,0,-0.958
"Albertse, Louis",Other Tours,415,35,9999,0,-0.958
"Broberg, Kristoffer",Challenge Tour,416,3,9999,0,-0.961
"Percy, Cameron",PGA TOUR,417,3,9999,0,-0.966
"Coody, Pierceson",PGA TOUR,418,29,200,-5,-0.967
"Parry, John",DP World Tour,419,3,404,0,-0.969
"Johannessen, Kristian Krogh",DP World Tour,420,4,407,-4,-0.981
"Tarrio Ben, Santiago",DP World Tour,421,4,359,-5,-0.981
"Hopfinger, Brad",Korn Ferry Tour,422,-14,9999,0,-0.982
"Sherwood, Cole",Amateur Events,423,3,9999,0,-0.984
"Johnson, Michael",Korn Ferry Tour,424,9,9999,0,-0.984
"Riedel, Matthew",Amateur Events,425,2,9999,0,-0.985
