player_name,primary_tour,dg_rank,dg_change,dg_index,owgr_rank,owgr_change,dg_points_rank,dg_points_change
"Walker, Danny",PGA Tour,176,-15,-0.146,188,-5,null,0
"Laporta, Francesco",DP World Tour,177,1,-0.147,241,-1,null,0
"Rozner, Antoine",PGA Tour,178,20,-0.153,135,4,null,0
"Campillo, Jorge",DP World Tour,179,1,-0.153,128,-1,null,0
"Chatfield, Davis",Korn Ferry Tour,180,-14,-0.155,257,-3,null,0
"Bramlett, Joseph",PGA Tour,181,-4,-0.157,232,1,null,0
"Simpson, Webb",PGA Tour,182,-1,-0.17,370,-2,null,0
"Meissner, Mitchell",Korn Ferry Tour,183,7,-0.183,328,0,null,0
"Ding, Wenyi",DP World Tour,184,3,-0.187,426,0,null,0
"Coussaud, Ugo",DP World Tour,185,3,-0.19,212,0,null,0
"Kokrak, Jason",LIV Golf,186,-11,-0.191,491,-5,null,0
"Homa, Max",PGA Tour,187,-15,-0.192,81,-3,null,0
"Gotterup, Chris",PGA Tour,188,-5,-0.195,206,2,null,0
"Griffin, Lanto",PGA Tour,189,15,-0.206,262,8,null,0
"Langasque, Romain",DP World Tour,190,2,-0.207,111,-6,null,0
"Pavan, Andrea",DP World Tour,191,2,-0.211,265,-2,null,0
"Lashley, Nate",PGA Tour,192,49,-0.22,195,29,null,0
"Tosti, Alejandro",PGA Tour,193,47,-0.223,147,23,null,0
"Smotherman, Austin",Korn Ferry Tour,194,-15,-0.224,277,-5,null,0
"Schaper, Jayden",DP World Tour,195,0,-0.227,221,-1,null,0
"Hubbard, Mark",PGA Tour,196,0,-0.236,129,-3,null,0
"Ventura, Kris",PGA Tour,197,2,-0.242,213,-3,null,0
"Thorbjornsen, Michael",PGA Tour,198,2,-0.243,190,-1,null,0
"Ferguson, Ewen",DP World Tour,199,-2,-0.246,171,-5,null,0
"Garnett, Brice",PGA Tour,200,-9,-0.246,178,-2,null,0
"Paul, Jeremy",PGA Tour,201,-36,-0.247,307,-9,null,0
"Koivun, Jackson",Amateur Events,202,23,-0.255,null,0,null,0
"Bjork, Alexander",DP World Tour,203,-2,-0.267,233,-5,null,0
"Lamprecht, Christo",Korn Ferry Tour,204,-20,-0.282,227,5,null,0
"Sullivan, Andy",DP World Tour,205,-2,-0.289,219,0,null,0
"Suh, Justin",PGA Tour,206,0,-0.291,193,2,null,0
"Kim, S.H.",PGA Tour,207,0,-0.3,162,-5,null,0
"Higgo, Garrick",PGA Tour,208,41,-0.307,263,48,null,0
"Vincent, Scott",Other Tours,209,-1,-0.31,445,-4,null,0
"Veerman, Johannes",DP World Tour,210,-1,-0.31,143,-2,null,0
"Silverman, Ben",PGA Tour,211,4,-0.311,201,-8,null,0
"Stricker, Steve",PGA TOUR Champions,212,-2,-0.311,null,0,null,0
"Bairstow, Sam",DP World Tour,213,-2,-0.311,184,0,null,0
"Howell III, Charles",LIV Golf,214,36,-0.318,null,0,null,0
"Dumont De Chassart, Adrien",PGA Tour,215,2,-0.323,244,-2,null,0
"Goodwin, Noah",PGA Tour,216,6,-0.324,338,-1,null,0
"Na, Kevin",LIV Golf,217,-31,-0.326,null,0,null,0
"Hillier, Daniel",DP World Tour,218,-2,-0.33,145,-1,null,0
"Pavon, Matthieu",PGA Tour,219,0,-0.334,52,0,null,0
"Mouw, William",PGA Tour,220,34,-0.348,187,3,null,0
"Riley, Davis",PGA Tour,221,2,-0.355,109,-5,null,0
"Migliozzi, Guido",DP World Tour,222,2,-0.356,159,-6,null,0
"James, Ben",Amateur Events,223,32,-0.356,null,0,null,0
"Noh, S.Y.",Korn Ferry Tour,224,-19,-0.358,345,-5,null,0
"Steele, Brendan",LIV Golf,225,-4,-0.361,null,0,null,0
"Kohles, Ben",PGA Tour,226,-13,-0.366,167,-4,null,0
"Martin, Ben",PGA Tour,227,7,-0.367,344,9,null,0
"Mullinax, Trey",PGA Tour,228,3,-0.371,358,-2,null,0
"Hoshino, Rikuya",DP World Tour,229,3,-0.374,191,-3,null,0
"Lacroix, Frederic",DP World Tour,230,-2,-0.385,189,-3,null,0
"Fitzpatrick, Alex",DP World Tour,231,-2,-0.389,205,0,null,0
"Ford, David",Amateur Events,232,38,-0.39,null,0,null,0
"Vilips, Karl",PGA Tour,233,-3,-0.391,118,-3,null,0
"Lindell, Oliver",DP World Tour,234,-1,-0.415,319,-5,null,0
"Brown, Daniel",DP World Tour,235,0,-0.418,132,-2,null,0
"Shelton, Robby",PGA Tour,236,-18,-0.419,275,-9,null,0
"Gonzalez, Emilio",Korn Ferry Tour,237,35,-0.422,334,25,null,0
"Catlin, John",Other Tours,238,-1,-0.424,139,-4,null,0
"Mansell, Richard",DP World Tour,239,-1,-0.425,144,1,null,0
"Imahira, Shugo",Other Tours,240,-1,-0.428,252,-3,null,0
"Schenk, Adam",PGA Tour,241,6,-0.432,142,-2,null,0
"Syme, Connor",DP World Tour,242,0,-0.435,215,-2,null,0
"Lebioda, Hank",Korn Ferry Tour,243,-17,-0.437,207,-3,null,0
"Smyth, Travis",Other Tours,244,-1,-0.438,266,-4,null,0
"Del Rey, Alejandro",DP World Tour,245,0,-0.44,165,-4,null,0
"Shipley, Neal",Korn Ferry Tour,246,-19,-0.441,222,0,null,0
"Kimsey, Nathan",DP World Tour,247,-1,-0.447,406,-7,null,0
"Potgieter, Aldrich",PGA Tour,248,21,-0.456,126,2,null,0
"List, Luke",PGA Tour,249,4,-0.462,166,-7,null,0
"Bryan, Wesley",PGA Tour,250,2,-0.465,239,-1,null,0
"Kizzire, Patton",PGA Tour,251,-37,-0.471,140,-4,null,0
"Clements, Todd",DP World Tour,252,5,-0.472,286,-7,null,0
"Mickelson, Phil",LIV Golf,253,63,-0.473,null,0,null,0
"Hill, Calum",DP World Tour,254,4,-0.474,174,-1,null,0
"Campbell, Ben",Other Tours,255,-70,-0.476,172,-3,null,0
"Shimizu, Taisei",Other Tours,256,3,-0.478,314,-8,null,0
"Ramsay, Richie",DP World Tour,257,3,-0.487,290,-4,null,0
"Peterson, Paul",PGA Tour,258,-2,-0.488,225,1,null,0
"Higa, Kazuki",Other Tours,259,3,-0.493,281,-3,null,0
"Vincent, Kieran",Other Tours,260,3,-0.501,329,-6,null,0
"Lawrence, Thriston",DP World Tour,261,6,-0.502,70,-1,null,0
"Ayora, Angel",DP World Tour,262,2,-0.511,204,-1,null,0
"Grace, Branden",LIV Golf,263,-51,-0.516,405,0,null,0
"Snedeker, Brandt",PGA Tour,264,1,-0.516,367,-2,null,0
"Wu, Dylan",PGA Tour,265,-21,-0.52,255,-10,null,0
"Capan III, Frankie",PGA Tour,266,-18,-0.523,169,-4,null,0
"Lamb, Rick",Korn Ferry Tour,267,62,-0.524,273,192,null,0
"Tabuena, Miguel",Other Tours,268,-2,-0.524,293,-3,null,0
"Duncan, Tyler",PGA Tour,269,-18,-0.524,325,-13,null,0
"Surratt, Caleb",LIV Golf,270,18,-0.527,334,-5,null,0
"Jones, Matt",LIV Golf,271,23,-0.529,null,0,null,0
"Blair, Zac",PGA Tour,272,-4,-0.53,211,-5,null,0
"Bauchou, Zach",Korn Ferry Tour,273,36,-0.533,292,23,null,0
"Moore, Ryan",PGA Tour,274,-3,-0.54,313,-9,null,0
"Kaewkanjana, Sadom",Other Tours,275,17,-0.54,315,4,null,0
"Rosenmueller, Thomas",Korn Ferry Tour,276,-1,-0.545,236,-1,null,0
"Streelman, Kevin",PGA Tour,277,-1,-0.562,224,-1,null,0
"Couvra, Martin",DP World Tour,278,-1,-0.563,279,-3,null,0
"Montgomery, Taylor",PGA Tour,279,-1,-0.566,247,-4,null,0
"Lemke, Niklas",DP World Tour,280,-1,-0.568,430,-3,null,0
"Lee, Richard",Other Tours,281,-1,-0.571,228,-1,null,0
"Jamieson, Scott",DP World Tour,282,-1,-0.575,303,-7,null,0
"Redman, Doc",Korn Ferry Tour,283,0,-0.58,409,-3,null,0
"Hardy, Nick",PGA Tour,284,-11,-0.58,357,-8,null,0
"Molinari, Edoardo",DP World Tour,285,0,-0.582,null,0,null,0
"Elvira Mijares, Ignacio",DP World Tour,286,0,-0.586,210,-1,null,0
"Knox, Russell",Korn Ferry Tour,287,54,-0.587,302,62,null,0
"Alker, Steven",PGA TOUR Champions,288,-1,-0.591,null,0,null,0
"Schneider, Marcel",DP World Tour,289,0,-0.593,342,-5,null,0
"Suber, Jackson",PGA Tour,290,-54,-0.598,220,-3,null,0
"Kinoshita, Ryosuke",Other Tours,291,0,-0.605,304,-8,null,0
"Scrivener, Jason",DP World Tour,292,1,-0.611,295,-2,null,0
"VanDerLaan, John",Korn Ferry Tour,293,35,-0.614,469,31,null,0
"Otaegui, Adrian",DP World Tour,294,1,-0.627,229,0,null,0
"Holt, Ian",Korn Ferry Tour,295,-5,-0.627,364,-3,null,0
"Jang, Yubin",Other Tours,296,7,-0.632,170,-3,null,0
"Lee, K.H.",PGA Tour,297,-1,-0.632,185,0,null,0
"Cink, Stewart",PGA TOUR Champions,298,-1,-0.632,423,-9,null,0
"Armitage, Marcus",DP World Tour,299,0,-0.645,198,-1,null,0
"Higgs, Harry",PGA Tour,300,68,-0.646,186,5,null,0
"Gouveia, Ricardo",DP World Tour,301,1,-0.647,336,-4,null,0
"Widing, Tim",Korn Ferry Tour,302,4,-0.648,216,-9,null,0
"Laird, Martin",PGA Tour,303,10,-0.648,300,-11,null,0
"Tway, Kevin",PGA Tour,304,-22,-0.65,297,-14,null,0
"Horsfield, Sam",LIV Golf,305,15,-0.652,null,0,null,0
"Green, Gavin",DP World Tour,306,-2,-0.658,340,-5,null,0
"Willett, Danny",PGA Tour,307,0,-0.664,384,-1,null,0
"Penge, Marco",DP World Tour,308,2,-0.669,343,-4,null,0
"Dantorp, Jens",DP World Tour,309,2,-0.672,318,-5,null,0
"Valdes, Brendan",Amateur Events,310,33,-0.675,null,0,null,0
"Zanotti, Fabrizio",DP World Tour,311,1,-0.679,311,-10,null,0
"Maas, Christian",Amateur Events,312,-4,-0.688,null,0,null,0
"Brennan, Michael",Other Tours,313,32,-0.688,null,0,null,0
"Winther, Jeff",DP World Tour,314,1,-0.691,254,-2,null,0
"Lee, Seung-taek",Other Tours,315,24,-0.692,365,8,null,0
"Molinari, Francesco",PGA Tour,316,51,-0.695,466,0,null,0
"Watson, Bubba",LIV Golf,317,1,-0.695,null,0,null,0
"Van Paris, Jackson",Amateur Events,318,-1,-0.695,null,0,null,0
"Kraft, Kelly",PGA Tour,319,0,-0.699,463,-9,null,0
"Katsuragawa, Yuto",DP World Tour,320,2,-0.702,251,-4,null,0
"Champ, Cameron",PGA Tour,321,-16,-0.707,433,-3,null,0
"Kho, Taichi",Other Tours,322,2,-0.711,403,1,null,0
"Suri, Julian",Korn Ferry Tour,323,-23,-0.716,493,-8,null,0
"Stenson, Henrik",LIV Golf,324,-50,-0.717,null,0,null,0
"Gilligan, Ian",Amateur Events,325,0,-0.718,null,0,null,0
"Pak, John",PGA Tour,326,28,-0.718,231,10,null,0
"Nyholm, Pontus",Korn Ferry Tour,327,-26,-0.719,437,-9,null,0
"Gabrelcik, Nick",Korn Ferry Tour,328,62,-0.72,417,0,null,0
"Riedel, Matthew",PGA Tour,329,30,-0.721,440,34,null,0
"Cantero Gutierrez, Ivan",DP World Tour,330,-4,-0.722,264,0,null,0
"Crocker, Sean",DP World Tour,331,-4,-0.723,297,-6,null,0
"Blanchet, Chandler",Korn Ferry Tour,332,10,-0.723,450,18,null,0
"Kobori, Kazuma",DP World Tour,333,-3,-0.729,331,-4,null,0
"Ko, Jeong Weon",DP World Tour,334,-3,-0.73,339,-5,null,0
